r_time:06:43:15 21.08.2022 | Trade:083 | pos:-1 | len:2 | approx_cum_ret:5.71% | trade_ret:0.01% | eps:0.0010 | t_time:2011-03-21 11:20:00-04:00 | idx:23775
r_time:06:43:52 21.08.2022 | Trade:084 | pos:-1 | len:4 | approx_cum_ret:5.86% | trade_ret:0.15% | eps:0.0010 | t_time:2011-03-21 11:45:00-04:00 | idx:23780
r_time:06:44:28 21.08.2022 | Trade:085 | pos:1 | len:4 | approx_cum_ret:5.93% | trade_ret:0.07% | eps:0.0010 | t_time:2011-03-21 12:10:00-04:00 | idx:23785
r_time:06:44:56 21.08.2022 | Trade:086 | pos:-1 | len:4 | approx_cum_ret:5.87% | trade_ret:-0.06% | eps:0.0010 | t_time:2011-03-21 12:35:00-04:00 | idx:23790
r_time:08:40:01 21.08.2022 | Trade:087 | pos:1 | len:1139 | approx_cum_ret:8.48% | trade_ret:2.62% | eps:0.0010 | t_time:2011-04-11 10:05:00-04:00 | idx:24930
r_time:08:52:14 21.08.2022 | Trade:088 | pos:1 | len:125 | approx_cum_ret:7.18% | trade_ret:-1.31% | eps:0.0010 | t_time:2011-04-12 14:05:00-04:00 | idx:25056
r_time:08:54:15 21.08.2022 | Trade:089 | pos:-1 | len:18 | approx_cum_ret:7.42% | trade_ret:0.24% | eps:0.0010 | t_time:2011-04-12 15:40:00-04:00 | idx:25075
r_time:08:55:04 21.08.2022 | Trade:090 | pos:-1 | len:7 | approx_cum_ret:6.96% | trade_ret:-0.46% | eps:0.0010 | t_time:2011-04-13 09:50:00-04:00 | idx:25083
----saving weights, trade logs and replay buffer-----
r_time:09:01:55 21.08.2022 | Trade:091 | pos:1 | len:29 | approx_cum_ret:7.47% | trade_ret:0.51% | eps:0.0010 | t_time:2011-04-13 15:15:00-04:00 | idx:25148
r_time:09:02:31 21.08.2022 | Trade:092 | pos:-1 | len:5 | approx_cum_ret:7.52% | trade_ret:0.05% | eps:0.0010 | t_time:2011-04-13 15:45:00-04:00 | idx:25154
r_time:09:02:58 21.08.2022 | Trade:093 | pos:-1 | len:4 | approx_cum_ret:8.22% | trade_ret:0.70% | eps:0.0010 | t_time:2011-04-14 09:40:00-04:00 | idx:25159
r_time:09:07:23 21.08.2022 | Trade:094 | pos:1 | len:39 | approx_cum_ret:8.90% | trade_ret:0.68% | eps:0.0010 | t_time:2011-04-14 13:15:00-04:00 | idx:25202
r_time:09:08:55 21.08.2022 | Trade:095 | pos:-1 | len:14 | approx_cum_ret:8.91% | trade_ret:0.01% | eps:0.0010 | t_time:2011-04-14 14:30:00-04:00 | idx:25217
r_time:09:18:22 21.08.2022 | Trade:096 | pos:-1 | len:87 | approx_cum_ret:8.44% | trade_ret:-0.47% | eps:0.0010 | t_time:2011-04-15 15:30:00-04:00 | idx:25307
r_time:09:25:11 21.08.2022 | Trade:097 | pos:1 | len:64 | approx_cum_ret:7.07% | trade_ret:-1.37% | eps:0.0010 | t_time:2011-04-18 14:25:00-04:00 | idx:25372
r_time:09:26:10 21.08.2022 | Trade:098 | pos:-1 | len:8 | approx_cum_ret:6.88% | trade_ret:-0.18% | eps:0.0010 | t_time:2011-04-18 15:10:00-04:00 | idx:25381
r_time:09:26:33 21.08.2022 | Trade:099 | pos:1 | len:3 | approx_cum_ret:7.11% | trade_ret:0.23% | eps:0.0010 | t_time:2011-04-18 15:30:00-04:00 | idx:25385
