r_time:16:44:00 01.08.2022 | Trade:106 | pos:1 | len:2 | approx_cum_ret:11.24% | trade_ret:0.70% | eps:0.0010 | t_time:2010-06-09 09:40:00-04:00 | idx:8425
r_time:16:45:22 01.08.2022 | Trade:107 | pos:-1 | len:13 | approx_cum_ret:11.31% | trade_ret:0.07% | eps:0.0010 | t_time:2010-06-09 10:50:00-04:00 | idx:8439
r_time:16:48:49 01.08.2022 | Trade:108 | pos:-1 | len:28 | approx_cum_ret:10.97% | trade_ret:-0.34% | eps:0.0010 | t_time:2010-06-09 13:15:00-04:00 | idx:8468
r_time:17:00:57 01.08.2022 | Trade:109 | pos:1 | len:104 | approx_cum_ret:12.15% | trade_ret:1.18% | eps:0.0010 | t_time:2010-06-10 15:30:00-04:00 | idx:8573
r_time:17:01:18 01.08.2022 | Trade:110 | pos:-1 | len:2 | approx_cum_ret:12.32% | trade_ret:0.16% | eps:0.0010 | t_time:2010-06-10 15:45:00-04:00 | idx:8576
----saving weights, trade logs and replay buffer-----
r_time:17:04:32 01.08.2022 | Trade:111 | pos:-1 | len:27 | approx_cum_ret:12.61% | trade_ret:0.29% | eps:0.0010 | t_time:2010-06-11 11:35:00-04:00 | idx:8604
r_time:18:14:57 01.08.2022 | Trade:112 | pos:1 | len:650 | approx_cum_ret:13.47% | trade_ret:0.85% | eps:0.0010 | t_time:2010-06-23 13:50:00-04:00 | idx:9255
r_time:18:16:27 01.08.2022 | Trade:113 | pos:-1 | len:13 | approx_cum_ret:13.37% | trade_ret:-0.10% | eps:0.0010 | t_time:2010-06-23 15:00:00-04:00 | idx:9269
r_time:18:17:32 01.08.2022 | Trade:114 | pos:-1 | len:9 | approx_cum_ret:13.12% | trade_ret:-0.25% | eps:0.0010 | t_time:2010-06-23 15:50:00-04:00 | idx:9279
r_time:18:17:54 01.08.2022 | Trade:115 | pos:-1 | len:2 | approx_cum_ret:13.36% | trade_ret:0.24% | eps:0.0010 | t_time:2010-06-24 09:35:00-04:00 | idx:9282
r_time:18:24:09 01.08.2022 | Trade:116 | pos:1 | len:54 | approx_cum_ret:13.05% | trade_ret:-0.30% | eps:0.0010 | t_time:2010-06-24 14:10:00-04:00 | idx:9337
r_time:18:25:27 01.08.2022 | Trade:117 | pos:-1 | len:11 | approx_cum_ret:13.66% | trade_ret:0.61% | eps:0.0010 | t_time:2010-06-24 15:10:00-04:00 | idx:9349
r_time:18:31:29 01.08.2022 | Trade:118 | pos:1 | len:55 | approx_cum_ret:13.73% | trade_ret:0.06% | eps:0.0010 | t_time:2010-06-25 13:20:00-04:00 | idx:9405
r_time:18:34:30 01.08.2022 | Trade:119 | pos:-1 | len:29 | approx_cum_ret:13.57% | trade_ret:-0.16% | eps:0.0010 | t_time:2010-06-25 15:50:00-04:00 | idx:9435
r_time:18:38:08 01.08.2022 | Trade:120 | pos:1 | len:34 | approx_cum_ret:13.66% | trade_ret:0.09% | eps:0.0010 | t_time:2010-06-28 12:15:00-04:00 | idx:9470
----saving weights, trade logs and replay buffer-----
r_time:18:38:54 01.08.2022 | Trade:121 | pos:-1 | len:5 | approx_cum_ret:13.78% | trade_ret:0.11% | eps:0.0010 | t_time:2010-06-28 12:45:00-04:00 | idx:9476
r_time:18:39:44 01.08.2022 | Trade:122 | pos:-1 | len:6 | approx_cum_ret:13.96% | trade_ret:0.19% | eps:0.0010 | t_time:2010-06-28 13:20:00-04:00 | idx:9483
r_time:18:40:07 01.08.2022 | Trade:123 | pos:1 | len:2 | approx_cum_ret:14.06% | trade_ret:0.09% | eps:0.0010 | t_time:2010-06-28 13:35:00-04:00 | idx:9486
r_time:18:43:10 01.08.2022 | Trade:124 | pos:1 | len:27 | approx_cum_ret:14.34% | trade_ret:0.28% | eps:0.0010 | t_time:2010-06-28 15:55:00-04:00 | idx:9514
r_time:18:43:32 01.08.2022 | Trade:125 | pos:-1 | len:2 | approx_cum_ret:15.89% | trade_ret:1.54% | eps:0.0010 | t_time:2010-06-29 09:40:00-04:00 | idx:9517
r_time:18:48:33 01.08.2022 | Trade:126 | pos:1 | len:42 | approx_cum_ret:14.79% | trade_ret:-1.10% | eps:0.0010 | t_time:2010-06-29 13:15:00-04:00 | idx:9560
r_time:18:49:16 01.08.2022 | Trade:127 | pos:-1 | len:5 | approx_cum_ret:15.15% | trade_ret:0.36% | eps:0.0010 | t_time:2010-06-29 13:45:00-04:00 | idx:9566
r_time:18:55:45 01.08.2022 | Trade:128 | pos:1 | len:55 | approx_cum_ret:15.53% | trade_ret:0.37% | eps:0.0010 | t_time:2010-06-30 11:55:00-04:00 | idx:9622
r_time:18:57:23 01.08.2022 | Trade:129 | pos:-1 | len:16 | approx_cum_ret:15.79% | trade_ret:0.27% | eps:0.0010 | t_time:2010-06-30 13:20:00-04:00 | idx:9639
r_time:19:06:15 01.08.2022 | Trade:130 | pos:1 | len:82 | approx_cum_ret:14.35% | trade_ret:-1.44% | eps:0.0010 | t_time:2010-07-01 13:45:00-04:00 | idx:9722
----saving weights, trade logs and replay buffer-----
r_time:19:08:23 01.08.2022 | Trade:131 | pos:-1 | len:17 | approx_cum_ret:14.27% | trade_ret:-0.08% | eps:0.0010 | t_time:2010-07-01 15:15:00-04:00 | idx:9740
r_time:19:08:51 01.08.2022 | Trade:132 | pos:1 | len:4 | approx_cum_ret:14.48% | trade_ret:0.21% | eps:0.0010 | t_time:2010-07-01 15:40:00-04:00 | idx:9745
r_time:19:09:35 01.08.2022 | Trade:133 | pos:1 | len:5 | approx_cum_ret:14.80% | trade_ret:0.32% | eps:0.0010 | t_time:2010-07-02 09:40:00-04:00 | idx:9751
r_time:19:09:55 01.08.2022 | Trade:134 | pos:-1 | len:2 | approx_cum_ret:15.16% | trade_ret:0.36% | eps:0.0010 | t_time:2010-07-02 09:55:00-04:00 | idx:9754
r_time:19:17:10 01.08.2022 | Trade:135 | pos:1 | len:68 | approx_cum_ret:15.01% | trade_ret:-0.16% | eps:0.0010 | t_time:2010-07-02 15:40:00-04:00 | idx:9823
r_time:19:21:23 01.08.2022 | Trade:136 | pos:-1 | len:37 | approx_cum_ret:14.15% | trade_ret:-0.86% | eps:0.0010 | t_time:2010-07-06 12:20:00-04:00 | idx:9861
r_time:19:28:11 01.08.2022 | Trade:137 | pos:1 | len:60 | approx_cum_ret:14.74% | trade_ret:0.60% | eps:0.0010 | t_time:2010-07-07 10:55:00-04:00 | idx:9922
r_time:19:28:32 01.08.2022 | Trade:138 | pos:-1 | len:2 | approx_cum_ret:14.85% | trade_ret:0.11% | eps:0.0010 | t_time:2010-07-07 11:10:00-04:00 | idx:9925
